"","date","state","temp","ah","o3","flu","fluT","flulike","flulikeT","fluP","flu_Year","fluR"
"1",2010-10-03,"Alaska",3.56438793076872,5.54466776612732,25.3418367346939,0,40,15,1714,0,901.2,0
"2",2010-10-10,"Alaska",0.729843268590004,4.6065711612028,17.6071428571429,0,38,19,1684,0,901.2,0
"3",2010-10-17,"Alaska",1.60948402844206,4.86924068961372,21.125,0,21,11,1877,0,901.2,0
"4",2010-10-24,"Alaska",0.494338780452976,4.67729779224455,26.9047619047619,0,37,18,1860,0,901.2,0
"5",2010-10-31,"Alaska",-1.67073392274009,4.11266339467683,24.6607142857143,0,32,13,1901,0,901.2,0
"6",2010-11-07,"Alaska",-3.47099292142441,3.78403149481102,36.3928571428571,2,45,19,1996,0.000423068358940102,901.2,0.00221926320461607
"7",2010-11-14,"Alaska",-5.08335504423403,3.14695638675567,39.8928571428571,0,32,18,1870,0,901.2,0
"8",2010-11-21,"Alaska",-1.55695733858134,4.33578786704065,39.9821428571429,0,29,10,1533,0,901.2,0
"9",2010-11-28,"Alaska",-9.31157705178527,2.59596066784895,38.2678571428571,0,36,8,1740,0,901.2,0
"10",2010-12-05,"Alaska",-10.511742621064,2.55689762535592,31.1428571428571,2,37,14,1755,0.000431200431200431,901.2,0.00221926320461607
"11",2010-12-12,"Alaska",-12.9678294638662,2.08311072803557,35.7678571428571,1,30,21,1989,0.000351935646053293,901.2,0.00110963160230803
"12",2010-12-19,"Alaska",-12.814240821347,1.95471258565175,35.4821428571429,3,30,15,1760,0.000852272727272727,901.2,0.0033288948069241
"13",2010-12-26,"Alaska",-13.045866487757,2.2958478297005,38.0535714285714,6,53,21,1857,0.00128021458835005,901.2,0.0066577896138482
"14",2011-01-02,"Alaska",-3.9116075142984,3.76292716751576,41.25,11,52,12,2025,0.00125356125356125,901.2,0.0122059476253884
"15",2011-01-09,"Alaska",-9.54957919356074,2.1709014294918,40.9285714285714,26,67,28,1889,0.00575207604118107,901.2,0.0288504216600089
"16",2011-01-16,"Alaska",-15.1708672988718,2.23248603763883,39.2857142857143,58,136,36,2158,0.00711443057297062,901.2,0.064358632933866
"17",2011-01-23,"Alaska",-9.1001183254117,3.04691414198707,43.0892857142857,87,206,33,2355,0.00591800136046008,901.2,0.0965379494007989
"18",2011-01-30,"Alaska",-5.81130735996169,3.23233217257474,41,61,135,49,1332,0.0166221777332888,901.2,0.0676875277407901
"19",2011-02-06,"Alaska",-8.88955078676373,2.92229185702793,41.4464285714286,59,157,41,2093,0.00736151137701955,901.2,0.065468264536174
